Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"129 East","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075241/129-east,1.0,-1,Boulder,V0,1,6,42.49968,-70.9956
"Weekend Warrior","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908004/weekend-warrior,1.5,-1,Boulder,V0+,1,10,42.49968,-70.9956
Wanker,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908012/wanker,1.0,-1,Boulder,V2,1,10,42.49968,-70.9956
Punkass,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908017/punkass,1.0,-1,Boulder,V2,1,10,42.49968,-70.9956
Triangulation,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075228/triangulation,1.0,-1,Boulder,V2,1,,42.49968,-70.9956
"Slam Dunk","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107072462/slam-dunk,2.0,-1,Boulder,V2+,1,,42.49968,-70.9956
Treefingers,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107072470/treefingers,1.7,-1,Boulder,V4,1,,42.49968,-70.9956
"Liquid Nails","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106907983/liquid-nails,2.7,-1,Boulder,V8-,1,13,42.49968,-70.9956
"Natural Selection","Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106907992/natural-selection,3.7,-1,Boulder,V8-,1,15,42.49968,-70.9956
Devolution,"Elephant Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117069999/devolution,3.0,-1,Boulder,V10,1,12,42.49968,-70.9956
"M. Curry","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106945846/m-curry,2.2,-1,Boulder,V2,1,,42.4988,-70.99573
"N. Sad Punk","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075345/n-sad-punk,2.0,-1,Boulder,V2-3,1,,42.4988,-70.99573
"B. Cold Fusion","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116973699/b-cold-fusion,2.3,-1,Boulder,V3,1,10,42.4988,-70.99573
"F. Weetamoo Jump","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114215568/f-weetamoo-jump,2.9,-1,Boulder,V3,1,15,42.4988,-70.99573
"A. Weetamoo Arete","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116973728/a-weetamoo-arete,0.7,-1,Boulder,V3,1,10,42.4988,-70.99573
"G. Coke","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908987/g-coke,2.7,-1,Boulder,V3+,1,15,42.4988,-70.99573
"J. College Boy","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908955/j-college-boy,1.0,-1,Boulder,V4,1,16,42.4988,-70.99573
"H. Cokes and Smokes","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908979/h-cokes-and-smokes,2.0,-1,Boulder,V4+,1,20,42.4988,-70.99573
"E. Dog Leg Crack (Stand)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114312824/e-dog-leg-crack-stand,3.0,-1,Boulder,V5,1,15,42.4988,-70.99573
"D. Dog Leg Crack (SDS)","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908994/d-dog-leg-crack-sds,3.6,-1,Boulder,V6,1,18,42.4988,-70.99573
"L. Minotaur","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908939/l-minotaur,3.0,-1,Boulder,V7-,1,13,42.4988,-70.99573
"K. The Swell","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908947/k-the-swell,3.9,-1,Boulder,V7,1,14,42.4988,-70.99573
"I. Golden Arete","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106908963/i-golden-arete,3.7,-1,Boulder,V7,1,18,42.4988,-70.99573
"Golden Swell","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117947133/golden-swell,3.7,-1,Boulder,V7,1,,42.4988,-70.99573
"C. Fusion","Weetamoo Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909000/c-fusion,1.3,-1,Boulder,V8-,1,12,42.4988,-70.99573
"I. Border Patrol","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909448/i-border-patrol,3.1,-1,Boulder,V1,1,14,42.49872,-70.99608
"A. Pretzel","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909470/a-pretzel,1.0,-1,Boulder,V3,1,10,42.49872,-70.99608
"H. Perfect Fit","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909455/h-perfect-fit,2.3,-1,Boulder,V4,1,14,42.49872,-70.99608
"F. Checkmate","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909458/f-checkmate,2.4,-1,Boulder,V4,1,14,42.49872,-70.99608
"G. Chubby Checkers","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107763214/g-chubby-checkers,2.0,-1,Boulder,V5,1,13,42.49872,-70.99608
"B. You Want Fries With That?","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909474/b-you-want-fries-with-that,2.5,-1,Boulder,V6-,1,12,42.49872,-70.99608
"C. Gravity Vault","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909480/c-gravity-vault,2.5,-1,Boulder,V6,1,20,42.49872,-70.99608
"D. Solitary Man","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909465/d-solitary-man,2.8,-1,Boulder,V7,1,14,42.49872,-70.99608
"E. Riddles of the Sphinx","Patina Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106909461/e-riddles-of-the-sphinx,4.0,-1,Boulder,V8,1,14,42.49872,-70.99608
"Happy Times","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106959970/happy-times,0.5,-1,Boulder,V0,1,,42.49984,-70.99972
"Crack Attack","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106962943/crack-attack,2.6,-1,Boulder,V0,1,,42.49984,-70.99972
"Smiley Face","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106970803/smiley-face,2.2,-1,Boulder,V1,1,,42.49984,-70.99972
Sandals,"Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106911943/sandals,1.5,-1,Boulder,V2,1,12,42.49984,-70.99972
"Piss Drunk","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106959962/piss-drunk,2.6,-1,Boulder,V2+,1,,42.49984,-70.99972
"Moose Tracks","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106911948/moose-tracks,2.3,-1,Boulder,V3,1,14,42.49984,-70.99972
"Moose Drunk","Summit Boulder  1 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117400504/moose-drunk,2.0,-1,Boulder,V3+,1,12,42.49984,-70.99972
"Bacon and Eggs","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106944176/bacon-and-eggs,2.8,-1,Boulder,V0,1,18,42.50276,-71.00247
"Eggs and Ham","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106944181/eggs-and-ham,2.1,-1,Boulder,V1,1,18,42.50276,-71.00247
"Don't Pee on the Fire Hydrant","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106944188/dont-pee-on-the-fire-hydrant,2.5,-1,Boulder,V1,1,18,42.50276,-71.00247
"Stone Beach Ball","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106911969/stone-beach-ball,3.4,-1,Boulder,V2,1,16,42.50276,-71.00247
"Spicy Sauce","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116213663/spicy-sauce,2.8,-1,Boulder,V2+,1,16,42.50276,-71.00247
Slacker,"Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106911952/slacker,1.9,-1,Boulder,V3,1,13,42.50276,-71.00247
"Glory Daze","Summit Boulder  2 > The Summit Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106911960/glory-daze,2.5,-1,Boulder,V4,1,14,42.50276,-71.00247
Pleather,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913099/pleather,0.0,-1,Boulder,V2,1,10,42.49728,-70.99708
"Bear Den","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106916265/bear-den,1.7,-1,Boulder,V2,1,10,42.49728,-70.99708
"The Prow","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106916268/the-prow,0.5,-1,Boulder,V2,1,10,42.49728,-70.99708
"Grammy's Ice Cream","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106948060/grammys-ice-cream,2.0,-1,Boulder,V2,1,12,42.49728,-70.99708
"Public Education","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107763201/public-education,2.5,-1,Boulder,V3,1,12,42.49728,-70.99708
Domino,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913313/domino,2.3,-1,Boulder,V3,1,10,42.49728,-70.99708
Botox,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913122/botox,1.0,-1,Boulder,V3,1,10,42.49728,-70.99708
Gladiator,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913135/gladiator,2.6,-1,Boulder,V4,1,12,42.49728,-70.99708
"Brake Lights","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913105/brake-lights,1.7,-1,Boulder,V5-,1,25,42.49728,-70.99708
"Bruce Lee","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913320/bruce-lee,2.8,-1,Boulder,V5,1,10,42.49728,-70.99708
"Bail Bondsman","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913130/bail-bondsman,3.0,-1,Boulder,V5,1,15,42.49728,-70.99708
AB+AB,"The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107763190/abab,3.0,-1,Boulder,V6,1,12,42.49728,-70.99708
"The Vice","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913116/the-vice,3.0,-1,Boulder,V6+,1,12,42.49728,-70.99708
"Bruce Lee Extension","The Graffiti  Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117400777/bruce-lee-extension,2.9,-1,Boulder,V7,1,9,42.49728,-70.99708
"The Chi Problem","F7 Boulder (Aka the Perfect Target) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913925/the-chi-problem,3.5,-1,Boulder,V5,1,13,42.49845,-70.99749
"Chi's Grater","F7 Boulder (Aka the Perfect Target) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106970421/chis-grater,2.4,-1,Boulder,V6,1,,42.49845,-70.99749
"Easy Crack","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114236559/easy-crack,2.6,-1,Boulder,V0-,1,8,42.49845,-70.99749
"Fine Start","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/119313005/fine-start,2.4,-1,Boulder,V0,1,12,42.49845,-70.99749
"Easy Face","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114236621/easy-face,1.5,-1,Boulder,V0,1,8,42.49845,-70.99749
"Short Arete","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/119313121/short-arete,1.7,-1,Boulder,V0,1,9,42.49845,-70.99749
"Scary Start","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114236584/scary-start,2.0,-1,Boulder,V0+,1,12,42.49845,-70.99749
"Stay in the Crack","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114236612/stay-in-the-crack,1.6,-1,Boulder,V1,1,8,42.49845,-70.99749
"Spider Den","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114236631/spider-den,2.0,-1,Boulder,V1+,1,10,42.49845,-70.99749
"Gym Rat","Bobcat Den Boulder (AKA Suspended Boulder) > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106914036/gym-rat,3.0,-1,Boulder,V3,1,12,42.49845,-70.99749
"Peas and Carrots","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/120121463/peas-and-carrots,1.5,-1,Boulder,V0,1,8,42.49844,-70.99363
"Falling Up","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811456/falling-up,1.5,-1,Boulder,V1,1,,42.49844,-70.99363
"Stagecoach Mary","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117881377/stagecoach-mary,2.2,-1,Boulder,"V1 PG13",1,14,42.49844,-70.99363
"Box of Chocolates","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/120121421/box-of-chocolates,2.0,-1,Boulder,V1,1,8,42.49844,-70.99363
"Quagmire (AKA Tombstone Crack)","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117737047/quagmire-aka-tombstone-crack,3.0,-1,"TR, Boulder","V2 R",1,15,42.49844,-70.99363
Tilt-a-whirl,"The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113810496/tilt-a-whirl,2.4,-1,Boulder,V2+,1,12,42.49844,-70.99363
"Forest Gump","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106941980/forest-gump,2.3,-1,Boulder,V3-,1,14,42.49844,-70.99363
"Palm Reader","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106941964/palm-reader,2.0,-1,Boulder,V3,1,13,42.49844,-70.99363
Blunt,"The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106941967/blunt,2.9,-1,Boulder,V3,1,13,42.49844,-70.99363
Mathletes,"The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811474/mathletes,2.3,-1,Boulder,V3,1,8,42.49844,-70.99363
Guillotine,"The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106941515/guillotine,3.9,-1,Boulder,V3,1,14,42.49844,-70.99363
"Off Routed","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811542/off-routed,1.0,-1,Boulder,V3,1,8,42.49844,-70.99363
"Diamonds Are For Never","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811564/diamonds-are-for-never,3.0,-1,Boulder,V3,1,,42.49844,-70.99363
Dunce,"The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/118047989/dunce,2.0,-1,Boulder,V3,1,12,42.49844,-70.99363
"Above the Guillotine Traverse","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113575974/above-the-guillotine-traverse,1.9,-1,Boulder,V3-4,1,8,42.49844,-70.99363
"Wyatt Earp","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113810974/wyatt-earp,2.0,-1,Boulder,V4,1,,42.49844,-70.99363
"Billy the Kid","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811150/billy-the-kid,2.9,-1,Boulder,V4+,1,,42.49844,-70.99363
"Cinderella Ate My Daughter","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811424/cinderella-ate-my-daughter,2.5,-1,Boulder,V4+,1,10,42.49844,-70.99363
"Mr. Clean","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106941974/mr-clean,3.0,-1,Boulder,V5,1,14,42.49844,-70.99363
"Pure Imagination","The Tombstone Crag > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/113811601/pure-imagination,2.0,-1,Boulder,V8,1,7,42.49844,-70.99363
"Weekend Warrior","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942860/weekend-warrior,1.0,-1,Boulder,V0,1,10,42.49845,-70.99749
"Chicken Head","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942867/chicken-head,1.0,-1,Boulder,V1,1,10,42.49845,-70.99749
"Red Zone","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942863/red-zone,1.0,-1,Boulder,V2,1,10,42.49845,-70.99749
"Hueco Problem","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942856/hueco-problem,1.5,-1,Boulder,V4,1,10,42.49845,-70.99749
"Pimpin' and Crimpin'","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106944235/pimpin-and-crimpin,2.0,-1,Boulder,V5,1,,42.49845,-70.99749
"Six Pack of Whoop Ass","Satellite Boulders > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942852/six-pack-of-whoop-ass,2.0,-1,Boulder,V6-,1,12,42.49845,-70.99749
"Soap Opera Queen","Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942996/soap-opera-queen,3.0,-1,Boulder,V3-,1,14,42.49682,-70.99626
Hookup,"Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106942993/hookup,2.8,-1,Boulder,V4,1,14,42.49682,-70.99626
"Great Frog Arete","Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106943011/great-frog-arete,3.2,-1,Boulder,V6-,1,25,42.49682,-70.99626
"Show Us Your Woody","Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106943000/show-us-your-woody,3.3,-1,Boulder,V6+,1,20,42.49682,-70.99626
"Rebuilt Minds","Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106943006/rebuilt-minds,3.0,-1,Boulder,V6+,1,13,42.49682,-70.99626
"Lobster Claw","Great Frog Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106944197/lobster-claw,1.5,-1,Boulder,V6+,1,15,42.49682,-70.99626
"Mince Meat","Doom Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075288/mince-meat,2.5,-1,Boulder,V1,1,,42.49845,-70.99749
Raid,"Doom Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075317/raid,2.0,-1,Boulder,V3,1,,42.49845,-70.99749
Doomsday,"Doom Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107075271/doomsday,2.0,-1,Boulder,V6,1,,42.49845,-70.99749
"Bear Den","The Bear's Den Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107270645/bear-den,2.0,-1,Boulder,V2+,1,14,42.49845,-70.99749
Yogi,"The Bear's Den Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107270753/yogi,3.0,-1,Boulder,V3-4,1,13,42.49845,-70.99749
"Crab People","Sto Away Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/109206018/crab-people,1.0,-1,Boulder,V0+,1,10,42.49845,-70.99749
"Cookies and Cream","Sto Away Boulder > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/109205852/cookies-and-cream,1.0,-1,Boulder,V2-3,1,13,42.49845,-70.99749
"Scrubbing Bubbles","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116999229/scrubbing-bubbles,2.0,-1,Boulder,V0,1,10,42.49892,-70.99374
"Shark Fin Slab","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117003550/shark-fin-slab,2.0,-1,Boulder,V0+,1,8,42.49892,-70.99374
Peet,"Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117001286/peet,1.5,-1,Boulder,V2,1,7,42.49892,-70.99374
"Lookout Cookout","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/116999592/lookout-cookout,3.0,-1,Boulder,V3,1,8,42.49892,-70.99374
"Slab Style","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117002526/slab-style,2.0,-1,Boulder,V3+,1,8,42.49892,-70.99374
"The Bog Lip Traverse (B.L.T)","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117003633/the-bog-lip-traverse-blt,1.0,-1,Boulder,V3+,1,15,42.49892,-70.99374
"Bog Project #3","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117003594/bog-project-3,2.0,-1,Boulder,V4+,1,9,42.49892,-70.99374
"Bog Project #1","Bog Boulder - W06 > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/117001378/bog-project-1,3.0,-1,Boulder,V7+,1,10,42.49892,-70.99374
Geometry,"Dihedral > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/118561862/geometry,2.0,-1,Boulder,V1,1,18,42.49857,-70.99456
"Teacher's Assistant","Dihedral > Weetamoo Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/118561927/teachers-assistant,2.0,-1,Boulder,V3,1,12,42.49857,-70.99456
"Friends and Family","The Rich Baker Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913346/friends-and-family,3.3,-1,Boulder,V4,1,14,42.49888,-70.99022
Tribute,"The Rich Baker Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/114383087/tribute,3.5,-1,"Trad, TR, Boulder","5.11c V4 R",1,25,42.49888,-70.99022
"Basket Case","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913367/basket-case,2.3,-1,Boulder,V0-,1,16,42.49588,-70.98012
"Pita Chips","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/106913378/pita-chips,1.5,-1,Boulder,V1,1,12,42.49588,-70.98012
"Dick and Jane","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107003379/dick-and-jane,1.0,-1,Boulder,V1,1,10,42.49588,-70.98012
"Crash Test Dummy","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107003392/crash-test-dummy,3.2,-1,Boulder,V3,1,18,42.49588,-70.98012
"Teen Town","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107004951/teen-town,2.0,-1,Boulder,V3,1,10,42.49588,-70.98012
"No Brainer","Goliath Rock-AKA the Bob Parrot Boulder > Mt. Spickett/Goliath Rock Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107003385/no-brainer,3.0,-1,Boulder,V3,1,18,42.49588,-70.98012
